time,training_accuracy,training_loss,test_accuracy,test_loss
2022-11-27 15:08:34.329902,96.73,0.12,96.44,0.1207
2022-11-27 15:09:27.326881,96.83,0.11,96.32,0.1307
2022-11-27 15:10:18.101742,97.37,0.09,97.0,0.0981
