time,start_or_stop
2022-11-27 15:08:24.010223,START
2022-11-27 15:09:16.512640,STOP
2022-11-27 15:09:17.147591,START
2022-11-27 15:10:07.286971,STOP
2022-11-27 15:10:07.721981,START
