time,start_or_stop
2022-11-27 15:07:45.461266,START
2022-11-27 15:08:34.335728,STOP
2022-11-27 15:08:34.763938,START
2022-11-27 15:09:27.329884,STOP
2022-11-27 15:09:27.796054,START
2022-11-27 15:10:18.104469,STOP
2022-11-27 15:10:18.545538,START
